document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/applying_for_a_dedicated_waf_instance.rst,Applying for a Dedicated WAF Instance,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395174981.png,figure,49,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a screenshot of the WAF instance configuration page. | It matches the RST description and Table 1 parameters perfectly. | Interactive buttons are magenta, complying with the style guide.",
umn/source/applying_for_a_dedicated_waf_instance.rst,Applying for a Dedicated WAF Instance,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361495032.jpg,substitution_image,112,icon,False,False,False,,2,1,2,1,3,0.60,partial,,200,completed,1,The image shows a location pin icon. | It corresponds to the 'select a region' step in the RST. | The image quality is low and blurry.,The image is too blurry to show UI context or text.
umn/source/applying_for_a_dedicated_waf_instance.rst,Applying for a Dedicated WAF Instance,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361654944.png,substitution_image,113,icon,False,False,False,,2,1,2,1,3,0.60,partial,,200,completed,1,The image shows a hamburger menu icon. | It corresponds to the navigation menu step in the RST. | The image quality is low.,The image is low resolution and does not show menu contents.
umn/source/configuring_protection_policies/condition_field_description.rst,Condition Field Description,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395175065.png,figure,18,screenshot,True,False,True,"Interactive buttons and controls (toggle, links, delete) are blue/gray, not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image displays the WAF condition configuration UI, directly matching the document's topic. | Visible fields (Field, Subfield, Logic, Content) correspond to the described condition configuration. | Hard fail triggered because interactive elements are blue/gray instead of magenta or plain white, with no magenta text or buttons visible.",
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361655996.png,figure,60,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"Screenshot matches the figure caption 'Add Global Protection Whitelist Rule'. | Clearly shows the form fields and parameters described in Table 1. | Contains a magenta 'OK' button, complying with the color rule.",None.
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395174933.png,substitution_image,150,icon,False,False,False,,2,1,2,1,3,0.60,partial,,200,completed,2,Icon corresponds to the region/project selector mentioned in step 2. | Low resolution makes specific UI details unclear.,Cannot verify exact icon design due to blurriness.
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395334641.png,substitution_image,151,icon,False,False,False,,2,1,2,1,3,0.60,partial,,200,completed,2,Icon represents the navigation menu (hamburger icon) for step 3. | Low resolution limits visual verification.,Menu contents are not visible due to image quality.
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395174901.png,substitution_image,152,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,Icon correctly depicts the enabled (ON) state of the toggle switch. | Matches the description '|image3|: enabled.' in step 6.,None.
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361494960.png,substitution_image,153,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,Icon correctly depicts the disabled (OFF) state of the toggle switch. | Matches the description '|image4|: disabled.' in step 6.,None.
umn/source/configuring_protection_policies/configuring_a_known_attack_source_rule_to_block_specific_visitors_for_a_specified_duration.rst,Configuring a Known Attack Source Rule to Block Specific Visitors for a Specified Duration,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361654968.png,figure,58,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"Shows the 'Add Known Attack Source Rule' dialog box exactly as referenced in Step 8. | The 'Confirm' button is magenta, complying with the UI color rule. | Fields for Blocking Type, Duration, and Description match the RST description.",
umn/source/configuring_protection_policies/configuring_a_known_attack_source_rule_to_block_specific_visitors_for_a_specified_duration.rst,Configuring a Known Attack Source Rule to Block Specific Visitors for a Specified Duration,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361654960.png,figure,145,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"Illustrates the 'Traffic Identifier' configuration area mentioned in Step 2 of the example. | Shows IP Tag, Session Tag, and User Tag fields as expected.",
umn/source/configuring_protection_policies/configuring_a_known_attack_source_rule_to_block_specific_visitors_for_a_specified_duration.rst,Configuring a Known Attack Source Rule to Block Specific Visitors for a Specified Duration,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395174977.png,figure,153,screenshot,True,True,False,,3,2,3,3,2,0.88,pass,,200,completed,2,"Shows the rule configuration dialog with a magenta 'Confirm' button. | Note: The image alt text mentions 'Cookie-based', but the UI screenshot shows 'Long-term IP address blocking' selected. This is a minor mismatch with the specific example text but represents the correct dialog form.",
umn/source/configuring_protection_policies/configuring_a_known_attack_source_rule_to_block_specific_visitors_for_a_specified_duration.rst,Configuring a Known Attack Source Rule to Block Specific Visitors for a Specified Duration,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395174945.png,figure,161,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,2,Displays the 'Known Attack Source' toggle switch in the enabled (magenta) state. | Directly corresponds to Step 4 instruction to enable the feature.,
