document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/configuring_protection_policies/condition_field_description.rst,Condition Field Description,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395175065.png,figure,18,screenshot,True,False,True,"Interactive buttons and controls (toggle, links, delete) are blue/gray, not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image displays the WAF condition configuration UI, directly matching the document's topic. | Visible fields (Field, Subfield, Logic, Content) correspond to the described condition configuration. | Hard fail triggered because interactive elements are blue/gray instead of magenta or plain white, with no magenta text or buttons visible.",
umn/source/configuring_protection_policies/creating_a_reference_table_to_configure_protection_metrics_in_batches.rst,Creating a Reference Table to Configure Protection Metrics in Batches,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361655404.png,figure,40,screenshot,True,False,True,"Interactive buttons are gray/white, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the 'Reference Table Management' button highlighted, matching step 7 of the instructions.",
umn/source/configuring_protection_policies/creating_a_reference_table_to_configure_protection_metrics_in_batches.rst,Creating a Reference Table to Configure Protection Metrics in Batches,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395175445.png,figure,48,screenshot,True,False,True,"Interactive buttons are gray/white, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the 'Add Reference Table' button, corresponding to step 8.",
umn/source/faqs/troubleshooting_certificate_and_cipher_suite_issues/why_are_https_requests_denied_on_some_mobile_phones.rst,Why Are HTTPS Requests Denied on Some Mobile Phones?,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395175941.png,figure,15,screenshot,True,False,True,"Interactive browser controls (refresh icon, padlock) are not magenta or plain white.",3,2,3,3,3,0.93,fail,,200,completed,1,"The image shows a browser window with a red padlock icon, indicating a security warning or connection failure, which aligns with the RST's description of an abnormal HTTPS request. | The image serves as Figure 1, illustrating the 'Access failed' symptom described in the document. | Interactive browser elements are visible but do not meet the required magenta or plain white color scheme.","The image does not explicitly depict a mobile phone interface, although the RST describes a mobile phone scenario. | Specific error messages or certificate chain details are not visible in the screenshot."
umn/source/faqs/website_access_issues/how_does_a_dedicated_waf_instance_protect_non-standard_ports_that_are_not_supported_by_the_dedicated_instance.rst,How Does a Dedicated WAF Instance Protect Non-Standard Ports That Are Not Supported by the Dedicated Instance?,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395177433.png,substitution_image,53,icon,False,False,False,,1,1,2,1,3,0.50,fail,,200,completed,1,Image displays a generic hamburger menu icon. | Corresponds to the textual instruction to click the menu in the upper left corner. | Does not show the specific 'Web Application Firewall' menu item or console context.,Specific navigation menu items are not visible. | WAF console interface context is absent.
umn/source/faqs/website_access_issues/how_does_a_dedicated_waf_instance_protect_non-standard_ports_that_are_not_supported_by_the_dedicated_instance.rst,How Does a Dedicated WAF Instance Protect Non-Standard Ports That Are Not Supported by the Dedicated Instance?,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361495140.png,substitution_image,54,icon,False,False,False,,1,1,2,1,3,0.50,fail,,200,completed,1,Image displays a generic hamburger menu icon. | Corresponds to the textual instruction to click the menu in the upper left corner. | Does not show the specific 'Elastic Load Balance' menu item or console context.,Specific navigation menu items are not visible. | ELB console interface context is absent.
umn/source/instance_management/managing_dedicated_waf_engines.rst,Managing Dedicated WAF Engines,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361495344.png,figure,53,screenshot,True,False,True,"Interactive buttons (Cloud Eye, Upgrade, More) are blue, not magenta or plain white, and no other magenta buttons or text are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image displays the dedicated WAF instance list table, matching the 'Viewing Information About a Dedicated WAF Instance' section.",
umn/source/monitoring_and_auditing/using_cts_to_audit_waf/viewing_cts_traces_in_the_trace_list.rst,Viewing CTS Traces in the Trace List,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/object_management/certificate_management/viewing_certificate_information.rst,Viewing Certificate Information,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395336049.png,figure,29,screenshot,True,False,True,"Interactive buttons (View, Use, More) are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image displays the certificate list table described in the document. | Visible columns match the parameters listed in Table 1 (Name, Expires, Domain Name, Enterprise Project). | Interactive controls are present but fail the color requirement.",
umn/source/policy_management/adding_a_domain_name_to_a_policy.rst,Adding a Domain Name to a Policy,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361655840.png,figure,29,screenshot,True,False,True,"Interactive buttons and links are blue or gray, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,2,Image correctly illustrates the 'Add Domain Name' action in the policy table. | Directly corresponds to step 5 of the documentation.,
