document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/change_history.rst,Change History,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001372914929.png,substitution_image,114,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small circular clockwise-arrow (refresh/reload) pictogram, i.e., an isolated UI symbol, so it is classified as an icon. | The RST references |image1| in the 2019-03-04 entry as a 'button in the upper right corner of the domain information page', which is consistent with a refresh button icon. | The icon depicts a button-like control, so an interactive control symbol is visible. | The image is a generic refresh icon rather than a WAF-specific graphic, so topic and detail match are moderate. | No contradiction between the icon and the RST description of a button.",The image does not show the surrounding domain information page or the upper-right-corner placement described in the RST. | No label or tooltip is visible to confirm the exact function of the button.
umn/source/domain_management/configuring_the_minimum_tls_version_and_cipher_suite.rst,Configuring the Minimum TLS Version and Cipher Suite,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001372714457.png,substitution_image,83,icon,False,False,False,,2,1,2,2,3,0.65,partial,,,,200,stop,1,"A small location/map-pin icon used in step 2 to select a region or project in the upper left corner. | It is a navigation control rather than a TLS-specific element, so its topical relevance to the TLS configuration is indirect. | The image is a low-resolution isolated symbol with little detail.","No surrounding UI context is visible, so the exact menu it opens cannot be confirmed from the image alone."
umn/source/domain_management/configuring_the_minimum_tls_version_and_cipher_suite.rst,Configuring the Minimum TLS Version and Cipher Suite,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001372554657.png,substitution_image,84,icon,False,False,False,,2,1,2,2,3,0.65,partial,,,,200,stop,1,"A small pencil/edit icon used in step 5 to modify the TLS configuration next to the cipher suite name. | It directly relates to the action of editing TLS settings, though it is a generic edit symbol rather than a TLS-specific graphic. | The image is a low-resolution isolated symbol with minimal detail.","No surrounding UI context is visible, so the exact field it edits cannot be confirmed from the image alone."
umn/source/domain_management/setting_waf_bypassed_mode.rst,Setting WAF Bypassed Mode,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001372714457.png,substitution_image,45,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small location pin/marker icon, consistent with a region or project selector | RST references this as the icon to click in the upper left corner to select a region or project | The icon is generic and not specific to WAF bypassed mode functionality | Image is very small and somewhat blurry, making fine details hard to discern",Icon is too small to clearly identify specific branding or label | No surrounding UI context visible to confirm it is in the upper left corner of a console
umn/source/faqs/operation-related/how_do_i_fix_an_incomplete_certificate_chain.rst,How Do I Fix an Incomplete Certificate Chain?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0246112199.png,figure,30,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/faqs/operation-related/how_do_i_fix_an_incomplete_certificate_chain.rst,How Do I Fix an Incomplete Certificate Chain?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0283637109.png,figure,61,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/faqs/operation-related/how_do_i_fix_an_incomplete_certificate_chain.rst,How Do I Fix an Incomplete Certificate Chain?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0246108677.png,figure,21,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows a Chrome browser 'Connection is secure' popup with 'Certificate (Valid)' highlighted, matching Figure 1 description of viewing certificate status via the padlock icon | URL in address bar references a WAF console domain, consistent with the WAF documentation context | The red box highlights the Certificate (Valid) option, matching the RST instruction to click the padlock and view certificate status",
umn/source/faqs/operation-related/how_do_i_fix_an_incomplete_certificate_chain.rst,How Do I Fix an Incomplete Certificate Chain?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0246108818.png,figure,41,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows a Windows Certificate dialog with the Details tab active, displaying certificate fields (Version, Serial number, Signature algorithm, Issuer, Valid from/to, Subject) | The 'Copy to File...' button is highlighted with a red box, matching the RST step 3a/3b instructions | Issuer shows 'GlobalSign R36 OV SSL CA 201...' and Subject shows a Huawei domain, consistent with a WAF certificate scenario",
umn/source/faqs/operation-related/how_do_i_fix_an_incomplete_certificate_chain.rst,How Do I Fix an Incomplete Certificate Chain?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0246109037.png,figure,52,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows the Certificate Export Wizard with 'Export File Format' section | The 'Base-64 encoded X.509 (.CER)' radio button is selected and highlighted with a red box, exactly matching the RST instruction in step 3c | Next and Cancel buttons are visible at the bottom, consistent with the wizard flow described in the RST",
umn/source/faqs/operation-related/how_do_i_obtain_the_real_ip_address_of_a_web_visitor_after_waf_is_enabled.rst,How Do I Obtain the Real IP Address of a Web Visitor After WAF Is Enabled?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001175607540.png,substitution_image,38,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Small location-pin / map-marker icon used as the region/project selector in the upper-left corner | Referenced as |image1| in step 2 for selecting a region or project | Indirectly related to the topic as it is part of the navigation steps to reach the WAF configuration page,"Icon is low-resolution and slightly blurry, making fine details hard to discern"
umn/source/faqs/operation-related/how_do_i_obtain_the_real_ip_address_of_a_web_visitor_after_waf_is_enabled.rst,How Do I Obtain the Real IP Address of a Web Visitor After WAF Is Enabled?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001221127319.png,substitution_image,39,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Small pencil/edit icon used to customize the Source IP Header field | Referenced as |image2| in step 5 for customizing the field to identify the real IP address | Directly tied to the action of modifying the X-Forwarded-For header setting,"Icon is low-resolution and slightly blurry, making fine details hard to discern"
umn/source/getting_started/creating_a_domain_name.rst,Creating a Domain Name,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321794498.png,figure,22,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started/creating_a_domain_name.rst,Creating a Domain Name,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321634566.png,figure,37,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started/creating_a_domain_name.rst,Creating a Domain Name,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321634542.png,figure,58,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows the Domains list page with a 'Create Domain' button, matching Figure 3 referenced in step 4. | Table columns (Name, Mode, DNS, Protection Status, Policy, Operation) and 'Quota details' link align with the procedure text. | The 'Unconfigured' DNS status and protection policy rows match the notes in the document.",
umn/source/getting_started/creating_a_domain_name.rst,Creating a Domain Name,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001372914993.png,figure,73,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is the Create Domain page with Domain Name, Non-standard Port, Server Configuration, Certificate Name, Proxy Configured, and Tag fields, matching Figure 4 and Table 1. | Example values (www.example.com, 4443, HTTPS/HTTP, port 80) match the table's example column. | The health-check note about ELB is visible, consistent with the document note.",
umn/source/getting_started/creating_a_domain_name.rst,Creating a Domain Name,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321314946.png,figure,128,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows the Upload Certificate dialog with Certificate Name, Certificate Content, and Private Key fields, matching Figure 5 in step 7a. | The 'Quota details' link and OK/Cancel buttons match the described dialog. | Certificate and private key content blocks align with the .pem upload instructions.",
umn/source/getting_started/creating_a_domain_name.rst,Creating a Domain Name,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001156082152.png,figure,203,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows proxy connection instructions: change back-to-source IP and add subdomain name and TXT record, matching Figure 6. | The note about multi-AZ high availability relying on the WAF CNAME record matches the important note in the document. | Copy links next to the IP, subdomain, and TXT values align with the described steps.",
