document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/domain_management/disabling_waf_protection.rst,Disabling WAF Protection,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/domain_management/enabling_waf_protection.rst,Enabling WAF Protection,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001372795237.png,figure,33,screenshot,True,False,True,"Interactive buttons are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Matches the Domains page screenshot described in the procedure. | Shows the 'Switch Mode' button mentioned in step 4.,
umn/source/domain_management/modifying_the_alarm_page.rst,Modifying the Alarm Page,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321794518.png,figure,33,screenshot,True,False,True,Screenshot contains interactive controls (blue links) but lacks magenta or plain white buttons.,2,2,2,2,3,0.72,fail,,200,completed,1,"Shows the Domains page as described in step 3. | Interactive controls are blue, not magenta.",
umn/source/domain_management/modifying_the_alarm_page.rst,Modifying the Alarm Page,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321634558.png,figure,47,screenshot,True,False,True,Screenshot contains interactive edit button (pencil icon) but lacks magenta or plain white buttons.,2,2,2,2,3,0.72,fail,,200,completed,1,"Shows domain basic info page, highlighting the Alarm Page setting as in step 5. | Interactive edit button is not magenta.",
umn/source/domain_management/setting_waf_bypassed_mode.rst,Setting WAF Bypassed Mode,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001372554637.png,figure,32,screenshot,True,False,True,"Interactive buttons like 'Switch Mode' are blue, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image clearly shows the WAF domain list UI described in the RST. | Interactive buttons are blue, triggering the hard fail rule.",
umn/source/domain_management/viewing_basic_information.rst,Viewing Basic Information,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321794518.png,figure,28,screenshot,True,False,True,"Screenshot contains interactive buttons/links that are blue, not magenta or plain white, with no magenta elements present.",3,3,3,3,3,1.00,fail,,200,completed,1,Image matches Figure 1 Domains page described in the RST. | Table columns and layout align with the procedure step 3. | Search bar and operation links are visible as documented.,
umn/source/domain_management/viewing_basic_information.rst,Viewing Basic Information,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321474650.png,figure,72,screenshot,True,False,True,"Screenshot contains interactive controls (pencil, copy icons) that are gray, not magenta or plain white, with no magenta elements present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image matches Figure 2 Viewing basic information (with a proxy). | Basic Information and WAF Information sections are clearly displayed. | Fields like Domain Name, Mode, Client Protocol, and Proxy Configured match the RST description.",
umn/source/domain_management/viewing_basic_information.rst,Viewing Basic Information,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321794506.png,figure,87,screenshot,True,False,True,"Screenshot contains interactive controls (pencil, copy icons) that are gray, not magenta or plain white, with no magenta elements present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image matches Figure 3 Viewing basic information (without a proxy). | Shows CNAME instead of Access Address/Subdomain Name, consistent with the 'without a proxy' context. | All listed fields match the RST documentation.",
umn/source/domain_management/viewing_basic_information.rst,Viewing Basic Information,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001372795297.png,figure,104,screenshot,True,False,True,"Screenshot contains an interactive button ('Edit Server Information') that is light gray, not magenta or plain white, with no magenta elements present.",3,3,3,3,3,1.00,fail,,200,completed,1,Image matches Figure 4 Server Information. | Shows Server Information tab selected with corresponding table columns. | Layout and content align with the RST procedure step 5b.,
umn/source/domain_management/viewing_basic_information.rst,Viewing Basic Information,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321314970.png,figure,126,screenshot,True,False,True,"Screenshot contains interactive buttons/links that are blue, not magenta or plain white, with no magenta elements present.",3,3,3,3,3,1.00,fail,,200,completed,1,Image matches Figure 6 Tags. | Shows Tags tab selected with Add Tag button and tag list table. | Operation column contains Edit and Delete links as documented.,
umn/source/faqs/operation-related/how_do_i_fix_an_incomplete_certificate_chain.rst,How Do I Fix an Incomplete Certificate Chain?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0246108677.png,figure,21,screenshot,True,False,True,"Screenshot contains interactive UI buttons (e.g., 'Certificate (Valid)') that are not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the browser security popup with 'Certificate (Valid)' highlighted, matching step 1. | Visual evidence clearly supports the instruction to check certificate status.",
umn/source/faqs/operation-related/how_do_i_fix_an_incomplete_certificate_chain.rst,How Do I Fix an Incomplete Certificate Chain?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0246112199.png,figure,30,screenshot,True,False,True,"Screenshot contains interactive UI buttons (e.g., 'OK') that are not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image displays the 'Certification Path' tab with the certificate chain tree, matching step 2. | Shows 'huaweicloud.com' highlighted, illustrating the certificate path check.",
umn/source/faqs/operation-related/how_do_i_fix_an_incomplete_certificate_chain.rst,How Do I Fix an Incomplete Certificate Chain?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0246108818.png,figure,41,screenshot,True,False,True,"Screenshot contains interactive UI buttons (e.g., 'Copy to File...') that are not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the 'Details' tab with 'Copy to File...' button highlighted, matching step 3a. | Clearly illustrates the action to export the certificate.",
umn/source/faqs/operation-related/how_do_i_fix_an_incomplete_certificate_chain.rst,How Do I Fix an Incomplete Certificate Chain?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0246109037.png,figure,52,screenshot,True,False,True,"Screenshot contains interactive UI buttons (e.g., 'Next') that are not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the 'Certificate Export Wizard' with 'Base-64 encoded X.509 (.CER)' selected, matching step 3c. | Illustrates the format selection before clicking 'Next'.",
umn/source/faqs/operation-related/how_do_i_fix_an_incomplete_certificate_chain.rst,How Do I Fix an Incomplete Certificate Chain?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0283637109.png,figure,61,screenshot,True,False,True,"Screenshot contains interactive UI buttons (e.g., 'OK') that are not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows certificate text in Notepad alongside the certificate path window, matching step 4. | Arrows indicate the sequence for rebuilding the certificate chain.",
umn/source/faqs/operation-related/how_do_i_obtain_the_real_ip_address_of_a_web_visitor_after_waf_is_enabled.rst,How Do I Obtain the Real IP Address of a Web Visitor After WAF Is Enabled?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001221367359.png,figure,18,screenshot,True,False,True,"Interactive buttons (e.g., Quota details, Switch Mode) are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Matches Figure 1 Domains page description. | Shows domain list and operation buttons.,
umn/source/faqs/operation-related/how_do_i_obtain_the_real_ip_address_of_a_web_visitor_after_waf_is_enabled.rst,How Do I Obtain the Real IP Address of a Web Visitor After WAF Is Enabled?,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001221127307.png,figure,33,screenshot,True,False,True,"Interactive edit icons (pencil) are gray/blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Matches Figure 2 Basic domain information. | Shows source IP header configuration.,
umn/source/getting_started/creating_a_domain_name.rst,Creating a Domain Name,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/getting_started/testing_waf.rst,Testing WAF,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321794518.png,figure,33,screenshot,True,False,True,"Interactive buttons are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,2,Screenshot matches the 'Domains page' description in the RST document.,
umn/source/getting_started/testing_waf.rst,Testing WAF,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321634538.png,figure,46,screenshot,True,False,True,"Interactive buttons/icons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,2,Screenshot matches the step to copy the CNAME value as described in the RST.,
umn/source/rule_configurations/configuring_false_alarm_masking_rules.rst,Configuring False Alarm Masking Rules,/home/ubuntu/repotesting/web-application-firewall/umn/source/_static/images/en-us_image_0000001321794478.png,figure,31,screenshot,True,False,True,Interactive buttons are not magenta or plain white.,3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the domain configuration page with the 'Configure Policy' button as described in Step 3. | The interactive button is blue, not magenta or plain white.",
